pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,0,1,416,2,-2,0,0.92,0.02,-0.02,0,,,,,,,,,1.9,0.1,-0.1,0,Mass,,,,,,,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,6.48,-6.48,0,400.77,6.48,-6.48,0,12.264,,0,Kepler-band,12.138,,0,,,,,0.48,0.03,-0.03,0,,,,,6/4/2015,Kepler
DE CVn,b,DE CVn b,Eclipse Timing Variations,0,1,4098.1,131.5,-131.5,0,5.75,2.02,-2.02,0,0,,,0,86,,,0,12.0293,3.00733,-3.00733,0,Msin(i)/sin(i),,,,0,,,,0,0,0,0,0,13h26m53.27s,201.721958,+45d32m46.69s,45.546303,30.55,0.03,-0.03,0,30.55,0.03,-0.03,0,,,,,11.975,,0,,,,0,0.51,,,0,,,,0,7/11/2019,Multiple Facilities
DP Leo,b,DP Leo b,Eclipse Timing Variations,0,1,10220,730,-730,0,8.19,0.39,-0.39,0,0.39,0.13,-0.13,0,,,,,6.05,0.47,-0.58,0,Msini,,,,,,,,,0,0,0,0,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,305.06,28.94,-28.94,0,305.06,28.94,-28.94,0,,,,,18.633,,0,13500,500,-500,0,,,,0,0.01,,,0,5/14/2014,Yunnan Astronomical Observatory
HU Aqr,b,HU Aqr AB b,Eclipse Timing Variations,1,2,2390,4,-4,0,3.6,0.8,-0.8,0,0,,,0,90,,,0,5.9,0.6,-0.6,0,Msin(i)/sin(i),,,,0,,,,0,0,0,0,1,21h07m58.19s,316.99245,-05d17m40.5s,-5.294575,192.2,2.33,-2.33,0,192.2,2.33,-2.33,0,,,,,16.472,,0,,,,0,0.88,,,0,,,,0,10/24/2019,Yunnan Astronomical Observatory
HU Aqr,c,HU Aqr AB c,Eclipse Timing Variations,1,2,4368,515,-515,0,5.4,0.9,-0.9,0,0.51,0.15,-0.15,0,90,,,0,4.5,0.5,-0.5,0,Msin(i)/sin(i),,,,0,,,,0,0,0,0,1,21h07m58.19s,316.99245,-05d17m40.5s,-5.294575,192.2,2.33,-2.33,0,192.2,2.33,-2.33,0,,,,,16.472,,0,,,,0,0.88,,,0,,,,0,10/24/2019,Yunnan Astronomical Observatory
HW Vir,b,HW Vir b,Eclipse Timing Variations,0,1,4640,70,-70,0,4.69,0.06,-0.06,0,0.4,0.1,-0.1,0,80.9,,,0,14.48228,1.01275,-1.01275,0,Msin(i)/sin(i),,,,0,,,,0,0,0,0,0,12h44m20.24s,191.08432,-08d40m16.8s,-8.671344,181,20,-20,0,172.5,2.53,-2.53,0,10.692,0.069,0,V (Johnson),10.61,,0,,,,0,0.48,0.01,-0.01,0,,,,0,10/24/2019,McDonald Observatory
MXB 1658-298,b,MXB 1658-298 b,Eclipse Timing Variations,0,1,760,,,0,1.613,0.11,-0.11,0,,,,0,,,,0,23.7,3.2,-3.2,0,Mass,,,,0,,,,0,0,0,0,1,17h02m06.54s,255.527252,-29d56m44.1s,-29.945583,,,,,,,,,,,,,,,,,,,0,1.98,,,0,,,,0,7/27/2017,Multiple Observatories
NN Ser,c,NN Ser c,Eclipse Timing Variations,0,2,5573.55,102.2,-102.2,0,5.35,0.06,-0.06,0,0.08,0.05,-0.05,0,,,,,7.33,0.31,-0.31,0,Mass,,,,,,,,,0,0,0,0,15h52m56.13s,238.233879,+12d54m44.7s,12.912411,500,,,0,521.75,26.68,-26.68,0,,,,,16.59,,0,57000,,,0,0.54,,,0,,,,,5/14/2014,Multiple Observatories
NN Ser,d,NN Ser d,Eclipse Timing Variations,0,2,2883.5,182.5,-182.5,0,3.43,0.14,-0.14,0,0.19,0.05,-0.05,0,,,,,2.3,0.5,-0.5,0,Mass,,,,,,,,,0,0,0,0,15h52m56.13s,238.233879,+12d54m44.7s,12.912411,500,,,0,521.75,26.68,-26.68,0,,,,,16.59,,0,57000,,,0,0.54,,,0,,,,,5/14/2014,Multiple Observatories
NSVS 14256825,b,NSVS 14256825 b,Eclipse Timing Variations,0,1,3225,22,-22,0,3.12,0.07,-0.07,0,0.12,0.02,-0.02,0,,,,0,14.15,0.16,-0.16,0,Msini,,,,0,,,,0,0,0,0,1,20h20m00.46s,305.001917,+04d37m56.52s,4.632367,838.31,42.1,-42.1,0,838.31,42.1,-42.1,0,,,,,13.245,,0,40000,,,0,0.42,0.07,-0.07,0,0.19,0.01,-0.01,0,6/13/2019,Multiple Observatories
