pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,1,,,,,330,,,0,,,,,,,,,8,1,-1,0,Mass,,,,,,,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,14,-14,0,139.67,1.32,-1.32,0,,,,,12.057,,0,4060,300,-200,0,0.85,0.2,-0.1,0,,,,,4/1/2015,Gemini Observatory
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,0,1,,,,,52,6,-6,0,,,,,,,,,24.5,2.5,-2.5,0,Mass,,,,,,,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,4,-4,0,33.86,0.09,-0.09,0,14.24,0.07,0,V (Johnson),12.903,,0,3530,50,-50,0,0.4,0.05,-0.05,0,,,,,5/14/2014,W. M. Keck Observatory
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,1,,,,,156,10,-10,0,,,,,,,,,13.9,1.1,-1.1,0,Mass,1.44,0.03,-0.03,0,,,,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,2.6,-2.6,0,40.09,0.19,-0.19,0,,,,,15.012,,0,3064,76,-76,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,5/14/2015,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,0,1,,,,,15,,,0,,,,,,,,,7.5,2.5,-2.5,0,Mass,,,,,,,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,,,0,120.42,5.48,-5.48,0,,,,,18.967,,0,,,,,0.02,,,0,,,,,5/14/2014,Hubble Space Telescope
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,0,1,,,,,46,5,-5,0,,,,,,,,,4,1,-1,0,Mass,,,,,,,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,0.65,-0.65,0,64.42,0.65,-0.65,0,20.15,0.19,0,V (Johnson),17.408,,0,,,,,0.02,,,0,,,,,5/14/2014,Paranal Observatory
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,0,1,7336.5,1934.5,-584,0,,,,,0.26,0.06,-0.06,0,46.2,2.5,-8.7,0,20.95,83.79,-20.95,0,Mass,0.92,0.39,-0.36,0,,,,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,10,-10,0,33.12,0.48,-0.48,0,,,,,17.396,,0,2300,80,-80,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,5/14/2014,W. M. Keck Observatory
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,0,1,,,,,230,20,-20,0,,,,,,,,,12.5,1.5,-1.5,0,Mass,,,,,,,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74,10,-10,0,69.71,0.16,-0.16,0,12.51,0.03,0,V (Johnson),11.948,,0,4045,35,-35,0,0.6,0.05,-0.05,0,,,,,11/10/2016,W. M. Keck Observatory
51 Eri,b,51 Eri b,Imaging,0,1,11688,6209.25,-3287.25,0,12,4,-2,0,0.45,0.1,-0.15,0,133,14,-7,0,,,,0,,,,,0,,,,0,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,0.3,-0.3,0,29.78,0.12,-0.12,0,5.23,,0,V (Johnson),5.122,,0,,,,,1.75,0.05,-0.05,0,,,,,7/11/2019,Gemini Observatory
AB Pic,b,AB Pic b,Imaging,0,1,,,,,260,,,0,,,,,,,,,13.5,0.5,-0.5,0,Mass,,,,,,,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,50.12,0.07,-0.07,0,50.12,0.07,-0.07,0,9.128,0.019,0,V (Johnson),8.838,,0,,,,,,,,,,,,,5/14/2014,Paranal Observatory
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,0,1,10037.5,2737.5,-2737.5,0,2.6,0.3,-0.3,0,,,,,,,,,10.5,4.5,-4.5,0,Mass,,,,,,,,,0,0,0,1,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.1,2.4,-2.4,0,,,,,,,,,,,,580.5,24.5,-24.5,0,0.02,0.01,-0.01,0,,,,,5/14/2014,W. M. Keck Observatory
